/
gt1.X        1.0000
gt1.Y        0.0000
gt2.X        1.0000
gt2.Y        0.0000
gt3.X        1.0000
gt3.Y        0.0000
gt4.X        1.0000
gt4.Y        0.0000
gt5.X        0.0000
gt5.Y        1.0000
gt6.X        0.0000
gt6.Y        1.0000
gt7.X        0.0000
gt7.Y        1.0000
gt8.X        1.0000
gt8.Y        0.0000
gt9.X        1.0000
gt9.Y        0.0000
gt10.X        1.0000
gt10.Y        0.0000
gt11.X        1.0000
gt11.Y        0.0000
gt12.X        1.0000
gt12.Y        0.0000
gt13.X        1.0000
gt13.Y        0.0000
gt14.X        0.0000
gt14.Y        1.0000
gt15.X        0.0000
gt15.Y        1.0000
gt16.X        0.0000
gt16.Y        1.0000
gt17.X        1.0000
gt17.Y        0.0000
gt18.X        1.0000
gt18.Y        0.0000
/;
